Day,Campaign Name,Platform,Placement,Impressions,Link Clicks,Amount Spent,Results,,,,4週間前の開始日,2週間前の開始日,1週間前の開始日,終了日
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Feed: News Feed,1304,11,5219,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Explore,127,,139,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_explore_grid_home,13,,10,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_lead_gen_multi_submit,9,,1060,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_reels,373,2,1536,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Stories,2542,18,8423,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Marketplace,115,,185,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: Video Feeds,3,,3,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Facebook,search,10,,4,,,,,,,,
2025-09-09,媒体ALL_性別男性_リード獲得 - コピー,Facebook,In-Stream Video,18,,7,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Facebook,search,17,,8,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Marketplace,54,1,98,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Facebook,In-Stream Video,8,,7,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Stories,3169,24,10050,1,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_reels,392,,1975,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_lead_gen_multi_submit,21,,1362,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: Video Feeds,1,,1,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Feed: News Feed,896,7,3897,1,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: News Feed,1192,2,4260,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Facebook Stories,248,5,979,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels_overlay,102,1,140,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels,441,1,1222,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_profile_feed,17,,76,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_notification,52,,113,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Audience Network,"Native, Banner and Interstitial",5,,15,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_explore_grid_home,8,,4,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Explore,76,,125,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Facebook,search,13,,3,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_explore_grid_home,7,,2,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: Video Feeds,1,,1,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Audience Network,"Native, Banner and Interstitial",3,,13,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Marketplace,75,,143,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Facebook,In-Stream Video,8,,23,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Stories,3489,32,10402,2,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_lead_gen_multi_submit,14,,615,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_reels,452,3,3148,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Explore,145,1,201,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Feed: News Feed,1494,11,6197,1,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: News Feed,960,6,3387,1,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Facebook Stories,178,2,851,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels_overlay,84,,72,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels,408,3,1359,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_profile_feed,15,,25,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_notification,44,1,136,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Feed: News Feed,1699,14,6737,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,Facebook,In-Stream Video,11,,8,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Stories,5582,36,13531,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_reels,486,2,2072,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_lead_gen_multi_submit,4,,1018,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_explore_grid_home,7,,1,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Explore,52,1,60,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,Facebook,search,5,,3,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: News Feed,1062,5,4419,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Facebook Stories,44,,244,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels_overlay,51,,48,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels,179,1,662,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_profile_feed,9,,49,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_notification,16,,26,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,Audience Network,"Native, Banner and Interstitial",5,1,4,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Marketplace,80,1,85,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_explore_grid_home,9,,4,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Audience Network,"Native, Banner and Interstitial",6,,7,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_lead_gen_multi_submit,11,,832,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: Video Feeds,3,,2,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Facebook,search,8,,2,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Marketplace,136,,124,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Facebook,In-Stream Video,12,,5,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Stories,4047,27,11868,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_reels,429,8,2518,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_notification,36,,75,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Feed: News Feed,1452,16,6238,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: News Feed,1072,8,5408,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Facebook Stories,102,1,493,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels_overlay,112,,114,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels,346,2,1149,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_profile_feed,13,,41,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Explore,50,,65,,,,,,,,
