Day,Campaign Name,Age,Gender,Impressions,Link Clicks,Amount Spent,Results,,,,4週間前の開始日,2週間前の開始日,1週間前の開始日,終了日
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,45-54,Female,260,1,1775,1,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,45-54,Unknown,22,,79,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,35-44,Male,1762,8,5996,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,25-34,Unknown,18,,29,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,25-34,Male,1275,5,3453,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,25-34,Female,248,2,977,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,18-24,Unknown,18,,209,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,18-24,Male,525,7,1453,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,18-24,Female,109,,485,,,,,,,,
2025-09-10,媒体ALL_性別男性_リード獲得 - コピー,35-44,Female,358,5,1355,1,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,45-54,Female,272,2,1454,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,65+,Unknown,4,,5,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,65+,Male,261,4,1232,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,65+,Female,66,2,848,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,55-64,Unknown,6,,15,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,55-64,Female,150,3,1262,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,45-54,Unknown,18,,47,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,45-54,Male,1168,16,4991,3,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,55-64,Male,450,6,2026,,,,,,,,
